Ref,Val,Package,PosX,PosY,Rot,Side,x_mm,y_mm,w_mm,h_mm
C1,100n,C0603-ROUND,18.415,15.367,-90.0,top,18.415,15.367,1.1,2.6764
C10,100nF,C0603-ROUND,38.8112,10.6172,180.0,top,38.8112,10.6172,2.6764,1.1
C11,22p,C0603-ROUND,22.225,29.591,0.0,top,22.225,29.591,2.6764,1.1
C2,100n,C0603-ROUND,12.065,29.845,180.0,top,12.065,29.845,2.6764,1.1
C3,1u,C0603-ROUND,25.527,15.367,90.0,top,25.527,15.367,1.1,2.6764
C4,100n,C0603-ROUND,27.94,44.45,180.0,top,27.94,44.45,2.6764,1.1
C5,100n,C0603-ROUND,27.94,29.845,0.0,top,27.94,29.845,2.6764,1.1
C6,100n,C0603-ROUND,43.5356,10.414,180.0,top,43.5356,10.414,2.6764,1.1
C7,100n,C0603-ROUND,27.94,31.496,0.0,top,27.94,31.496,2.6764,1.1
C8,1u,C0603-ROUND,12.7,41.91,180.0,top,12.7,41.91,2.6764,1.1
C9,22p,C0603-ROUND,16.002,29.591,180.0,top,16.002,29.591,2.6764,1.1
D1,M7,SMB,21.59,2.794,180.0,top,21.59,2.794,6.8,2.4
D2,CD1206-S01575,MINIMELF,59.436,27.94,-90.0,top,59.436,27.94,1.8,4.8
D3,CD1206-S01575,MINIMELF,13.081,46.228,90.0,top,13.081,46.228,1.8,4.8
F1,MF-MSMF050-2 500mA,L1812,4.064,26.543,90.0,top,4.064,26.543,3.4,5.8
FD1,DNP,FD-1-1.5,6.35,49.911,0.0,top,6.35,49.911,1.016,1.016
FD2,DNP,FD-1-1.5,50.157,20.932,0.0,top,50.157,20.932,1.016,1.016
FD3,DNP,FD-1-1.5,3.73,3.41,0.0,top,3.73,3.41,1.016,1.016
FRAME1,DNP,FRAME,-21.5,-4.5,0.0,top,-21.5,-4.5,140.3066,20.5342
GROUND0,,SJ,11.43,40.64,180.0,bottom,11.43,40.64,2.6924,1.6002
ICSP0,3x2 M,2X03,64.897,27.94,-90.0,top,64.897,27.94,4.09,6.63
ICSP1,3x2 M,2X03,18.288,46.228,180.0,top,18.288,46.228,6.63,4.09
J1,-,1X14-CUSTOM,45.72,2.54,0.0,top,45.72,2.54,36.83,1.905
J2,-,1X18-CUSTOM,45.72,50.8,180.0,top,45.72,50.8,45.72,1.905
JP2,2x2 M-NM,2X02,19.558,41.148,90.0,top,19.558,41.148,4.2164,4.2164
L0,YELLOW,CHIP-LED0805,27.94,42.164,-90.0,top,27.94,42.164,3.3,1.2
L1,BLM21,0805,7.62,45.085,180.0,top,7.62,45.085,3.4,1.0
L2,10uH,0805,38.7096,7.8232,0.0,top,38.7096,7.8232,3.4,1.0
ON0,GREEN,CHIP-LED0805,58.42,36.576,-90.0,top,58.42,36.576,3.3,1.2
ORIGIN0,TP_SP,TP-SP,0.0,-0.0,0.0,top,0.0,-0.0,0.8,0.8
PC1,47u,PANASONIC_D,25.527,9.144,90.0,top,25.527,9.144,1.4,7.8
PC2,47u,PANASONIC_D,18.415,9.144,90.0,top,18.415,9.144,1.4,7.8
R1,1M,R0603-ROUND,19.05,29.591,0.0,top,19.05,29.591,2.6764,1.1
R2,1M,R0603-ROUND,41.275,22.733,180.0,top,41.275,22.733,2.6764,1.1
RESET-EN0,,SJ,27.94,27.305,0.0,top,27.94,27.305,2.6924,1.6002
RESET0,TS42031-160R-TR-7260,TS42,6.35,49.403,0.0,top,6.35,49.403,10.0,5.9
RN1,10K,CAY16,27.94,23.876,90.0,top,27.94,23.876,2.0,2.9
RN2,1K,CAY16,27.94,39.37,-90.0,top,27.94,39.37,2.0,2.9
RN3,22R,CAY16,12.827,36.83,90.0,top,12.827,36.83,2.0,2.9
RN4,1K,CAY16,58.42,33.782,90.0,top,58.42,33.782,2.0,2.9
RX0,YELLOW,CHIP-LED0805,27.94,34.29,90.0,top,27.94,34.29,3.3,1.2
T1,FDN340P,SOT-23,8.128,26.543,-90.0,top,8.128,26.543,2.921,2.7178
TP_5V1,TP_SP,TP-SP,66.167,30.48,0.0,top,66.167,30.48,0.8,0.8
TP_CMP0,TP_SP,TP-SP,29.972,23.368,0.0,top,29.972,23.368,0.8,0.8
TP_DTR0,TP_SP,TP-SP,25.908,29.845,0.0,top,25.908,29.845,0.8,0.8
TP_GATE0,TP_SP,TP-SP,12.065,21.463,0.0,top,12.065,21.463,0.8,0.8
TP_LCMD0,TP_SP,TP-SP,18.923,21.082,0.0,top,18.923,21.082,0.8,0.8
TP_LL0,TP_SP,TP-SP,25.527,43.18,0.0,top,25.527,43.18,0.8,0.8
TP_MISO2,TP_SP,TP-SP,20.828,47.498,0.0,top,20.828,47.498,0.8,0.8
TP_MOSI2,TP_SP,TP-SP,18.288,44.958,0.0,top,18.288,44.958,0.8,0.8
TP_ONL0,TP_SP,TP-SP,56.642,35.052,0.0,top,56.642,35.052,0.8,0.8
TP_RESET2,TP_SP,TP-SP,15.748,47.498,0.0,top,15.748,47.498,0.8,0.8
TP_RX0,TP_SP,TP-SP,52.451,34.163,0.0,top,52.451,34.163,0.8,0.8
TP_RXL0,TP_SP,TP-SP,31.369,35.687,0.0,top,31.369,35.687,0.8,0.8
TP_SCK2,TP_SP,TP-SP,18.288,47.498,0.0,top,18.288,47.498,0.8,0.8
TP_TX0,TP_SP,TP-SP,51.054,32.004,0.0,top,51.054,32.004,0.8,0.8
TP_TXL0,TP_SP,TP-SP,31.369,38.735,0.0,top,31.369,38.735,0.8,0.8
TP_USBVCC0,TP_SP,TP-SP,9.906,30.861,0.0,top,9.906,30.861,0.8,0.8
TP_USH0,TP_SP,TP-SP,9.017,42.799,0.0,top,9.017,42.799,0.8,0.8
TP_VUCAP0,TP_SP,TP-SP,14.986,41.91,0.0,top,14.986,41.91,0.8,0.8
TX0,YELLOW,CHIP-LED0805,27.94,36.576,90.0,top,27.94,36.576,3.3,1.2
U1,NCP1117ST50T3G,SOT223,7.747,17.399,90.0,top,7.747,17.399,8.4154,5.842
U2,LP2985-33DBVR,SOT23-DBV,21.971,15.24,-90.0,top,21.971,15.24,3.8,2.45
U3,16U2,ATMEL_QFN32,19.939,34.671,90.0,top,19.939,34.671,5.4128,5.4128
U4,ATMEGA328P-MU,MLF32,42.545,15.875,-90.0,top,42.545,15.875,5.6,5.6
U5,LMV358IDGKR,MSOP08,19.05,20.32,90.0,top,19.05,20.32,5.425,2.25
UNK_HOLE_0,,dummyfp0,66.04,35.56,0.0,top,66.04,35.56,3.2,3.2
UNK_HOLE_1,,dummyfp1,66.04,7.62,0.0,top,66.04,7.62,3.2,3.2
UNK_HOLE_2,,dummyfp2,15.24,50.8,0.0,top,15.24,50.8,3.2,3.2
UNK_HOLE_3,,dummyfp3,13.97,2.54,0.0,top,13.97,2.54,3.2,3.2
X1,POWERSUPPLY_DC21MMX,POWERSUPPLY_DC-21MM,5.334,8.382,90.0,top,5.334,8.382,9.9944,9.0038
X2,USB-B_TH,PN61729,3.81,38.1,-90.0,top,3.81,38.1,7.1562,15.216
Y1,16MHz,QS,18.923,26.162,180.0,top,18.923,26.162,6.7564,1.6764
Y2,CSTCE16M0V53-R0 16MHZ,RESONATOR,41.275,24.892,0.0,top,41.275,24.892,2.7,2.0
Z1,CG0603MLC-05E,CT_CN0603,12.7,39.37,180.0,top,12.7,39.37,3.0,1.0
Z2,CG0603MLC-05E,CT_CN0603,12.7,33.655,180.0,top,12.7,33.655,3.0,1.0
